id,Nazwa produktu,wartosc energetyczna kcal,woda g,bialko ogolem g,bialko zwierzece g,bialko roslinne g,tluszcz g,weglowodany g ,sod mg,potas mg,wapn mg,fosfor mg,magnez mg,zelazo mg,cynk mg,miedz mg,mangan mg
1,"Mleko spozywcze 3,5 % tluszczu",64,87.7,3.3,3.3,0,3.5,4.8,44,138,118,85,12,0.1,0.32,0.02,0.02
2,"Mleko spozywcze 3,2% tluszczu",61,88,3.3,3.3,0,3.2,4.8,44,139,118,85,12,0.1,0.32,0.02,0.02
3,Mleko spozywcze 2% tluszczu,51,89,3.4,3.4,0,2,4.9,45,141,120,86,12,0.1,0.32,0.02,0.02
4,"Mleko spozywcze 1,5 % tluszczu",47,89.4,3.4,3.4,0,1.5,5,45,141,120,97,12,0.1,0.37,0.01,0.02
5,"Mleko spozywcze 0,5 % tluszczu",39,90.3,3.5,3.5,0,0.5,5.1,45,141,121,97,12,0.1,0.4,0.01,0.01
6,Mleko kobiece,72,87.2,1.3,1.3,0,4.3,7,20,52,20,13,4,0.1,0.11,0.03,0.01
7,Mleko kozie,68,87.3,3.2,3.2,0,4.1,4.5,40,161,130,127,14,0.1,0.58,0.04,0.02
8,Mleko owcze,107,80.9,6,6,0,7,5.1,44,136,193,158,18,0.1,0.2,0.1,0.02
9,Mleko w proszku odtluszczone,360,4,35.7,35.7,0,0.8,51.2,480,1874,1404,1012,143,1.2,4.15,0.24,0.2
10,Mleko w proszku pelne,479,4,27,27,0,24,38.7,357,1393,1062,765,108,0.9,3.09,0.18,0.2
11,Mleko zageszczone nieslodzone,131,75,6.6,6.6,0,7.5,9.4,120,304,258,202,26,0.2,0.7,0.04,0.02
12,Mleko zageszczone slodzone,326,27.5,7.5,7.5,0,8,55.3,110,348,295,212,30,0.2,0.8,0.05,0.02
13,"Mleko UHT 3,2% tluszczu",61,88,3.3,3.3,0,3.2,4.8,41,139,113,81,12,0.1,0.32,0.02,0.02
14,"Mleko UHT 1,5% tluszczu",47,89.4,3.4,3.4,0,1.5,5,42,141,110,92,12,0.1,0.37,0.01,0.02
15,"Mleko UHT 0,5% tluszczu",39,90.3,3.5,3.5,0,0.5,5.1,42,141,111,91,12,0.1,0.4,0.01,0.01
16,smietanka kremowa 30% tluszczu,287,64.2,2.2,2.2,0,30,3.1,32,101,86,62,9,0.1,0.23,0.01,0
17,smietana 18% tluszczu,184,75.3,2.5,2.5,0,18,3.6,37,116,99,71,10,0.1,0.27,0.02,0
18,smietana 12% tluszczu,133,80.8,2.7,2.7,0,12,3.9,40,125,106,76,11,0.1,0.29,0.02,0
19,smietanka do kawy 9% tluszczu,107,83.6,2.8,2.8,0,9,4,41,128,109,79,11,0.1,0.3,0.02,0
20,Jogurt naturalny 2% tluszczu,60,86.5,4.3,4.3,0,2,6.2,63,200,170,122,17,0.1,0.46,0.03,0
21,"Jogurt bananowy 1,5% tluszczu",70,83.5,3.7,3.6,0.1,1.5,10.4,48,215,132,97,18,0.2,0.39,0.04,0.08
22,"Jogurt jagodowy 1,5% tluszczu",62,85.2,3.7,3.6,0.1,1.5,8.8,48,170,134,96,14,0.2,0.42,0.04,0.13
23,"Jogurt morelowy 1,5% tluszczu",63,85,3.7,3.6,0.1,1.5,8.9,47,200,133,96,14,0.2,0.38,0.04,0.05
24,"Jogurt truskawkowy 1,5% tluszczu",60,85.7,3.7,3.6,0.1,1.5,8.2,47,179,134,97,15,0.2,0.37,0.04,0.05
25,"Jogurt wisniowy 1,5% tluszczu",61,85.8,3.7,3.6,0.1,1.5,8.2,49,182,134,98,15,0.2,0.38,0.04,0.03
26,Kefir 2% tluszczu,51,89.3,3.4,3.4,0,2,4.7,38,122,103,74,10,0.1,0.28,0.02,0
27,"Maslanka spozywcza 0,5 % tluszczu",37,90.7,3.4,3.4,0,0.5,4.7,60,150,110,80,13,0.1,0.5,0.01,0
28,Napoj mleczny jogurtowy,82,81.1,4,4,0,1.9,12.1,59,186,158,113,16,0.1,0.43,0.03,0
29,Napoj mleczny kakaowy,81,81.8,3.3,3.1,0.2,2.1,12.1,41,153,111,87,16,0.2,0.38,0.07,0.05
30,Napoj mleczny serwatkowo-smietankowy,74,84,0.9,0.9,0,2.2,12.4,40,116,66,40,2,0.1,0.07,0,0.01
31,Napoj mleczny smietankowy,63,84.4,3.5,3.5,0,0.5,10.9,61,158,116,84,14,0.1,0.51,0.01,0
32,Serwatka plynna,25,93.4,0.8,0.8,0,0.1,5.1,45,129,68,40,1,0.1,0.05,0,0.01
33,"Ser, Brie pelnotlusty",329,49.3,19.8,19.8,0,28,0.2,880,100,600,380,20,0.2,2.28,0.04,0.04
34,"Ser, Camembert pelnotlusty",291,52.1,21.4,21.4,0,23,0.2,966,101,386,310,22,0.5,2.84,0.07,0.04
35,"Ser, Cheddar pelnotlusty",391,37.7,27.1,27.1,0,31.7,0.1,598,81,703,487,54,0.5,4.05,0.04,0.02
36,"Ser, Edamski tlusty",313,46,26.1,26.1,0,23.4,0.1,618,81,867,523,27,0.6,2.2,0.03,0.02
37,"Ser, Ementaler pelnotlusty",380,36.9,28.8,28.8,0,29.7,0.1,909,119,835,416,39,0.5,4.4,0.04,0.02
38,"Ser, Gouda tlusty",316,44.9,27.9,27.9,0,22.9,0.1,898,83,807,516,31,0.7,4.18,0.07,0.03
39,"Ser, Mysliwski pelnotlusty",346,43,25.5,25.5,0,27.4,0.1,674,82,792,494,27,0.4,3.59,0.06,0.04
40,"Ser, Mysliwski tlusty",338,41.4,29,29,0,24.9,0.1,768,93,903,563,31,0.5,3.69,0.06,0.04
41,"Ser, Parmezan",452,19.4,41.5,41.5,0,32,0.1,1860,107,1380,810,51,1,3.2,0.2,0.04
